sample_index,target_x,target_y,gaze_x,gaze_y,error_px,error_visual_angle_deg
207,1728.0,108.0,1749.7841432142693,79.94586033536218,35.518778806468,
208,1728.0,108.0,1752.0119504832066,81.57135021987919,35.70780440195459,
209,1728.0,108.0,1754.5262448344383,80.91984217517441,37.90747436633083,
210,1728.0,108.0,1758.8268256025854,78.66662409780336,42.55279213579037,
211,1728.0,108.0,1762.4649264621787,75.20017011002028,47.57793602979214,
212,1728.0,108.0,1761.8914254555611,72.52255154998016,49.06402009552084,
213,1728.0,108.0,1760.3810141191725,66.46530009413871,52.66556153366261,
214,1728.0,108.0,1759.1311230098843,62.94262996743907,54.765987748854364,
215,1728.0,108.0,1759.2553616438784,56.727591246723954,60.0479602555544,
216,1728.0,108.0,1755.8901976520326,56.99309127165025,58.13405080580268,
217,1728.0,108.0,1751.5843854234522,55.59739580366572,57.46526048283098,
218,1728.0,108.0,1747.509377882994,51.1062856738769,60.14574428173583,
219,1728.0,108.0,1742.820835330103,44.885093031964296,64.83169472924357,
220,1728.0,108.0,1740.6030003187145,37.87019436695267,71.25324733064814,
221,1728.0,108.0,1738.715396501841,31.487788761745882,77.25890363420184,
222,1728.0,108.0,1739.2331263710482,28.162038810318723,80.6243336406137,
223,1728.0,108.0,1741.6153567707106,26.83992670044631,82.29420051244597,
224,1728.0,108.0,1743.7163154820942,24.099509780658526,85.35979634100896,
225,1728.0,108.0,1743.6164981521379,22.39377570905799,87.01896719616244,
226,1728.0,108.0,1740.7923227460494,23.38481704028367,85.57670657687967,
227,1728.0,108.0,1737.0246463514313,28.6181287229035,79.89321453804398,
228,1728.0,108.0,1735.1724495408105,33.859288773668375,74.48683839150222,
229,1728.0,108.0,1736.495575285661,38.89431837945212,69.62592930564635,
230,1728.0,108.0,1737.2928908651209,42.65481251440321,66.00266167480552,
231,1728.0,108.0,1738.005697445565,42.48304836024961,66.27657907238104,
232,1728.0,108.0,1742.0640199899437,39.84220803995888,69.59368694893082,
233,1728.0,108.0,1746.6070308544847,35.75564144994973,74.60207061153173,
234,1728.0,108.0,1747.2386056814876,34.9915424350426,75.50072068915603,
235,1728.0,108.0,1746.5271511028623,34.33769501710942,75.95650402289904,
236,1728.0,108.0,1746.326376003278,38.75735723369029,71.62680807265046,
237,1728.0,108.0,1744.3268743417764,44.068417760907,65.98343756857524,
238,1728.0,108.0,1742.718566036754,45.86365782626373,63.855784427958646,
239,1728.0,108.0,1741.2042173864843,44.336984370004004,65.01792764995396,
240,1728.0,108.0,1742.1968393016743,40.773033831675725,68.70964434746102,
241,1728.0,108.0,1742.283218959964,37.89102933122112,71.54913075708168,
242,1728.0,108.0,1744.08297919759,33.73514529488295,75.98638604541118,
243,1728.0,108.0,1745.9738132280663,28.957719229206166,81.06010184675576,
244,1728.0,108.0,1747.3622655510223,24.00263598059228,86.20008404565041,
245,1728.0,108.0,1750.241578768048,19.164684782421595,91.5772955262482,
246,1728.0,108.0,1753.127490380665,15.286166004562446,96.05855394999429,
247,1728.0,108.0,1753.348653750022,12.604042087741675,98.70634748047296,
248,1728.0,108.0,1754.4304419161244,13.89611706226467,97.74512286472724,
249,1728.0,108.0,1755.7078810117357,14.82161708067305,97.2107901090266,
250,1728.0,108.0,1754.9739888040474,17.44318208435369,94.48880009296548,
251,1728.0,108.0,1752.663623071014,19.952402326681582,91.43671997087165,
252,1728.0,108.0,1749.3759773159,25.446961041879955,85.27565096456757,
253,1728.0,108.0,1744.33882595463,34.28838864939696,75.50072106594773,
254,1728.0,108.0,1741.0939422679273,40.60489348556912,68.6553108375987,
255,1728.0,108.0,1738.9555259062624,42.771967100927945,66.1416648094468,
256,1728.0,108.0,1739.4412826175371,44.09125580726869,64.92480675540224,
257,1728.0,108.0,1741.786196112859,44.98498334283802,64.50543796893879,
258,1728.0,108.0,1743.124713180825,47.45303818512316,62.40746376687948,
259,1728.0,108.0,1745.6449901795743,54.31525578668238,56.510153421191596,
260,1728.0,108.0,1750.9281875981956,63.7135014166708,49.86978788113368,
261,1728.0,108.0,1756.2685771034903,75.5819798228139,43.012096945678216,
262,1728.0,108.0,1757.7166734486723,83.30132913287997,38.640717170587656,
263,1728.0,108.0,1756.6805410384868,86.99450898769832,35.55002231965843,
264,1728.0,108.0,1756.7525378942223,84.78683365291636,36.953477877137175,
265,1728.0,108.0,1759.6407989521683,84.1065175707788,39.64894274664884,
